,Unnamed: 0,date,retweets,favorites,text,location,language,sescore
0,1,6/13/2017 19:56,2,0,Daily chart on 6/4: has now broken above W at 387.2 favoring more upside ,,en,1
1,2,6/13/2017 18:03,0,1,"Agriculture Markets Report - Tusday, June 13 ",,en,1
2,3,6/13/2017 17:59,102,1,sad to say but I am happy this is failing. ,,en,1
3,4,6/13/2017 14:39,0,0,July corn settled higher 1.1 at ,,en,1
4,5,6/13/2017 14:38,0,0,July corn settled higher 1.1 at ,,en,1
5,6,6/13/2017 14:14,0,0,"In 1963, was first grown commercially. ",,en,1
6,7,6/13/2017 13:40,1,0,"Corn buyers I think are waiting now for weather related event. Inventory has been high for years, priced in.",,en,1
7,8,6/13/2017 12:12,1,1,"Between 1994-2001, the price of in fell 70. ",,en,1
8,9,6/13/2017 11:52,0,1,WASDE Does Not Step On The Rebound In Grains Too Hard ,,en,2
9,10,6/13/2017 11:09,0,0,Jason Bonds Millionaire Roadmap trading mentoring program sign up for details!! ,,en,1
10,11,6/13/2017 11:07,0,0,Cool Late Spring Pressures Natural Gas; The Most Ethical Company And Developing U.S. Drought? ,,en,1
11,12,6/13/2017 11:06,0,0,Cool Late Spring Pressures Natural Gas; The Most Ethical Company And Developing U.S. Drought? ,,en,1
12,13,6/13/2017 11:06,0,1,Cool Late Spring Pressures Natural Gas; The Most Ethical Company And Developing U.S. Drought? ,,en,1
13,14,6/13/2017 9:07,0,0,iv loaded ,,en,1
14,15,6/13/2017 8:08,0,0,has been grown since 1997 in the & ,,en,2
15,16,6/13/2017 7:36,0,0,WASDE Does Not Step On The Rebound In Grains Too Hard che,,en,1
16,17,6/13/2017 7:32,0,0,WASDE Does Not Step On The Rebound In Grains Too Hard OMG,,en,1
17,18,6/13/2017 7:32,0,0,RT SeekingAlpha WASDE Does Not Step On The Rebound In Grains Too Hard ,,en,1
18,19,6/13/2017 7:32,0,0,WASDE Does Not Step On The Rebound In Grains Too Hard ,,en,2
19,20,6/13/2017 7:32,0,1,WASDE Does Not Step On The Rebound In Grains Too Hard ,,en,1
20,21,6/13/2017 4:19,0,0,Learning a winning stock trading strategy is EASY with Tim Sykes ,,en,1
21,22,6/12/2017 23:16,0,0,"Agriculture Markets Report - Monday, June 12 ",,en,1
22,23,6/12/2017 20:20,0,1,"In 2014, the produced 35 of the ",,en,1
23,24,6/12/2017 16:17,0,1,,,en,1
24,25,6/12/2017 14:34,0,0,Wheat Supply/Demand Update ,,en,1
25,26,6/12/2017 14:28,0,1,July corn settled lower -2.8 at ,,en,1
26,27,6/12/2017 14:27,0,0,July corn settled lower -2.8 at ,,en,1
27,28,6/12/2017 10:37,0,0,This stock trader is in it 2 win it - he wants U right along with him FREE TRIAL !! ,,en,1
28,29,6/12/2017 10:00,0,1,swoosh down a few bushels ,,en,1
29,30,6/12/2017 9:32,0,0,Real Time Commodities Futures Prices ,,en,1
30,31,6/12/2017 8:55,0,0,Always charts worth considering. just starting to break up off lows. Very unloved for a long time.,,en,2
31,32,6/12/2017 5:28,0,1,"Grain ETN gained 1.11 4.08 last week, regained 20-dMA; S/T momentum indicators are trending up. ",,en,1
32,33,6/12/2017 2:02,0,0,c. 800 900CE: became a staple in the Eastern ,,en,1
33,34,6/11/2017 23:26,19,10,NEW Blog: U.S. Corn Futures Weekly Outlook: Rally On or Bull Trap? - by MarcusLudtke ,,en,1
34,35,6/11/2017 18:04,0,0,RT investingbuddy Get Full Institutional Technical Analysis by tradingsafely1 for ,,en,1
35,36,6/11/2017 18:03,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
36,37,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
37,38,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
38,39,6/11/2017 18:00,0,0,Get Full Institutional Technical Analysis by tradingsafely1 ,,en,1
